farm_name,lat,lon
8QcEM,35.24634,-73.35985
ktb8c,36.45822,-73.35262
NouyB,36.00846,-73.35182
B7Qx2,34.10787,-73.35164
p0voT,35.21364,-73.35144
iPI59,34.12676,-73.34601
11UkO,34.23703,-73.34497
fh1cJ,37.41891,-73.34435
z6ipf,36.62037,-73.34379
X34mL,37.44178,-73.34043
4pfhE,33.59869,-73.33908
nRhvP,33.53638,-73.33818
qSIdb,34.60001,-73.33725
1x4DJ,34.2511,-73.33703
DgJQI,36.29702,-73.33556
WZ83C,34.76287,-73.33427
5PMtZ,36.71835,-73.33402
s650g,33.54265,-73.33307
cUOYh,37.12492,-73.33304
in8fE,35.45267,-73.32901
MByLa,33.52471,-73.32885
C6Hy7,37.19455,-73.32853
SOU75,34.12921,-73.32782
gYGx0,35.9788,-73.32323
cTaxy,33.90329,-73.3217
4IDPv,37.25982,-73.31965
rxKnc,37.2095,-73.31709
idCH8,36.244,-73.31525
Bp3A8,37.33245,-73.3152
Hfb1P,35.73502,-73.31221
O7v4A,34.98527,-73.31037
BPpPl,35.55118,-73.30863
WZJHw,36.61237,-73.30723
xAc4X,35.96426,-73.30696
Py91m,33.50948,-73.3049
pzsmE,36.98042,-73.30393
kGdrX,33.57641,-73.30266
NL8GJ,37.41241,-73.30265
VSCgL,35.54645,-73.29946
9YAyB,35.13236,-73.29869
Z3iAA,34.84323,-73.29699
qEiyv,33.651,-73.2926
YPBJO,36.51863,-73.29092
hn3Lm,37.42124,-73.2903
cfKRc,35.26245,-73.28165
vWUSc,33.80101,-73.28108
MPlN6,35.83422,-73.27992
8v08M,34.32126,-73.27778
88K6L,33.71587,-73.27664
lCI7M,36.53371,-73.27633
pNvB3,36.97001,-73.27114
EN9NV,35.81005,-73.27109
huu0W,35.79263,-73.27008
oA3DG,36.48133,-73.26794
hrShp,35.91743,-73.26769
hztRM,34.11057,-73.26601
eDIOB,35.99663,-73.2632
0FlZj,37.10434,-73.26278
EBw2k,34.16486,-73.25973
ahO9X,35.74765,-73.25906
me2xI,34.67233,-73.25869
9dK5k,34.89906,-73.25676
0iDmt,37.25514,-73.25637
Zpuho,36.18456,-73.25596
c0Ag1,36.09806,-73.25485
SbVP8,36.70932,-73.25206
dXG8a,33.91863,-73.25106
JQDAb,35.85189,-73.25097
7dd4y,34.89139,-73.25034
990fr,36.67,-73.24713
sSS8j,37.03369,-73.24161
uR07h,35.45507,-73.24088
GrXyN,34.41309,-73.24054
rwqfW,36.24956,-73.24033
Pr1y5,35.75307,-73.23783
K6W7w,36.5977,-73.23592
00PNN,36.50599,-73.23462
JbNyA,35.28192,-73.23426
wYS3Q,34.02625,-73.23351
GsLPt,37.49133,-73.23088
CKlgC,35.60291,-73.23056
kVqL6,37.28924,-73.22771
BBoED,33.8926,-73.22745
M0TCi,35.88416,-73.22633
1nj1l,33.76938,-73.22526
UX0Jm,35.95809,-73.22387
nG6IP,34.31875,-73.22269
5RRMI,34.21601,-73.22074
kO49V,36.21386,-73.22024
zHQEW,36.31044,-73.21827
GLSom,36.81208,-73.21805
3xPSU,34.48747,-73.218
a0O4P,36.77584,-73.21698
DdDjO,36.58449,-73.21301
EhZ3F,33.87754,-73.21202
c5myG,37.18891,-73.21029
OQTWQ,34.23444,-73.2093
c1XE5,36.36196,-73.20835
fipWl,36.90913,-73.20389
Z3kp5,35.38657,-73.20358
M0hDK,34.88473,-73.20258
f4wzS,36.2294,-73.20253
LS7zE,35.98928,-73.2023
ft4oG,37.09809,-73.20193
efwNG,36.72244,-73.20108
Uy4pA,36.7275,-73.20015
zas92,33.62257,-73.19879
AfDLE,33.64904,-73.19384
KAokR,34.23719,-73.19274
tQj8n,33.84217,-73.1924
86Rn5,35.24873,-73.19204
isSfC,34.26394,-73.18894
cFALD,36.57424,-73.18738
OPuvH,37.48627,-73.18558
TN3DS,37.41914,-73.1853
7rNvY,36.45975,-73.18527
Mct68,37.01035,-73.18456
JRmaH,36.23355,-73.1827
R7vYq,33.59606,-73.18252
GjeWh,36.38839,-73.18245
a2gb5,34.79011,-73.18128
IDqmO,35.92237,-73.18125
cTGX6,36.75417,-73.18087
OdbuL,36.89233,-73.18024
Zykc6,37.48013,-73.17926
ZtYb0,35.46522,-73.17795
anwfr,37.39665,-73.17664
EMmFX,36.30727,-73.17603
Tyk7S,34.53863,-73.17283
RRe1G,34.66719,-73.17171
qzZmh,34.10817,-73.17022
EDXLs,35.12983,-73.16865
O1VKH,33.94931,-73.16795
cjO4P,34.0228,-73.16545
BLjmn,35.25095,-73.16437
3t0id,36.59577,-73.15662
O1Jq0,33.76074,-73.1525
0UOd1,37.16765,-73.15144
V1011,34.35515,-73.14915
y5lUW,37.12383,-73.14474
kWon8,35.68176,-73.14383
Fxnz0,36.74639,-73.14301
kNfgz,36.71137,-73.14223
3NjP4,36.08618,-73.14193
kskLo,34.26413,-73.14027
d9384,37.4527,-73.13918
EfYBH,33.57569,-73.13434
xsu3E,34.54115,-73.13353
Hm1g8,34.99509,-73.13104
69uju,34.68281,-73.13042
TrqVo,36.70601,-73.12797
stoEh,33.63852,-73.12312
gsEAJ,34.91441,-73.12139
XgkVz,34.15232,-73.11803
VZcQD,34.97931,-73.11781
YdQ5L,36.93439,-73.11594
KoeD4,33.6226,-73.115
KO5Bp,36.99994,-73.11391
l0F9Z,36.95457,-73.11273
rIkIs,36.22333,-73.11251
2D2Eu,33.70749,-73.11116
l8efT,36.48076,-73.10969
w8yJ1,34.78146,-73.1093
RZDwS,34.85675,-73.10406
0LceG,33.95985,-73.10283
uuCSQ,37.22112,-73.10206
QO5yq,37.19367,-73.10088
NSuaT,35.1826,-73.09909
S0uY6,36.91919,-73.09755
6s9OF,34.03314,-73.09514
yBBfP,37.15548,-73.09343
fGSOf,37.31687,-73.09306
HuIUO,37.20762,-73.08972
0yDx5,33.7836,-73.08756
kiIed,35.64657,-73.08474
ujIWZ,36.68613,-73.08277
MaR2H,36.905,-73.08023
SKppk,35.08728,-73.08014
bI5Wz,36.61382,-73.07665
G4fMg,34.96765,-73.07618
UKZRc,34.76512,-73.07606
EExV5,35.41849,-73.07135
3ch13,34.89065,-73.06822
KD4pl,36.09055,-73.06681
YDOw0,36.17252,-73.06561
I2q2V,35.62737,-73.06435
g0FKr,37.35599,-73.06114
V3LCX,35.5228,-73.0574
05JNE,37.29404,-73.0524
eKOCU,35.73751,-73.0518
ktMOW,36.50076,-73.05066
a6hhz,37.3841,-73.0464
Nt8cq,35.45561,-73.04532
X7GfH,36.84738,-73.04438
LtNzi,37.15084,-73.04186
c4S8A,36.06748,-73.03445
EFLLl,36.55692,-73.03311
nEcy2,34.33787,-73.03082
fnf4V,34.75997,-73.03046
psfj8,35.67205,-73.02893
TfMNk,37.43194,-73.02621
hxtvU,34.5498,-73.02489
pDBpq,35.44053,-73.02248
PD1oH,34.52938,-73.01847
gqKbm,36.5699,-73.01744
5Apyx,34.1117,-73.01503
XNFCq,33.86399,-73.0142
RWDkR,36.09167,-73.01164
2ZYH7,34.1324,-73.0114
xQmBJ,36.0343,-73.01126
hVoGa,36.48673,-73.00985
86GwA,33.53758,-73.0088
EmHff,35.61569,-73.00628
XvmIy,37.37926,-73.0048
haHJF,35.80666,-73.00407
9T8Ro,34.33128,-73.00281
5rlBa,34.74047,-73.00162
LCUmo,35.3845,-73.00003
miMjC,34.38552,-72.99967
ujRRB,33.76774,-72.99918
1CGkE,34.98182,-72.99887
o3dWO,36.09698,-72.99625
8477w,37.18655,-72.99491
dCktF,35.337,-72.99315
TWMP2,36.18872,-72.99284
vTBPb,34.62541,-72.98961
Tkhaz,33.74553,-72.98785
oQKK0,35.14221,-72.9873
yAncF,34.05321,-72.98667
uBy9C,37.33415,-72.98559
YhgJ2,35.29039,-72.98481
KuqJU,34.0246,-72.98411
LzXX4,34.14553,-72.98407
KwcRp,36.22178,-72.98326
E2Vkp,35.23636,-72.98228
2a3x4,35.36322,-72.97633
ikKsB,37.22765,-72.97294
vy7Ni,34.81187,-72.97197
ihtbh,34.36285,-72.9715
cr6Cv,34.25934,-72.96598
XP6Ar,35.52999,-72.96427
hAwZl,36.13772,-72.96334
ylR2b,34.89861,-72.9625
hsnB8,35.87401,-72.9618
Am2Rq,33.90043,-72.96107
aEwYm,36.22838,-72.96087
QlpUn,36.06854,-72.96067
MbkIQ,33.7927,-72.96028
mCqwa,35.03499,-72.9593
B0Xun,35.24992,-72.95879
tBDOw,35.64799,-72.95639
QOoDq,35.95249,-72.95371
Cll4c,35.27232,-72.95321
7EyRJ,35.20309,-72.94897
i8lTe,37.09152,-72.94843
v5WGO,36.62917,-72.94268
0zglN,36.43929,-72.94075
LWQ7z,36.3801,-72.94051
9RpdF,34.76123,-72.93995
mO9a9,35.94368,-72.93983
zktIe,35.28349,-72.93948
bA6Lt,34.75656,-72.93806
mbdgB,35.77788,-72.9366
RmQFd,36.59604,-72.93389
0tXO1,34.47151,-72.93158
j0Y8v,35.65519,-72.93152
5N2VS,33.52297,-72.93043
ScLbm,36.29846,-72.92789
1Tw3V,37.32026,-72.92767
KKECr,36.9899,-72.92741
4xwDN,34.54518,-72.92737
5D7GM,37.2373,-72.92665
Y8S1C,37.05051,-72.92449
nrALV,37.0434,-72.92323
JtiqC,37.12034,-72.92031
463W7,33.93167,-72.91869
99OAQ,33.65326,-72.91703
CzO1A,36.32561,-72.91643
MIwhN,34.85258,-72.91514
cqrb1,35.81665,-72.908
arsuX,33.77972,-72.90652
yx2Fp,35.09172,-72.90543
OGVsS,34.71493,-72.90518
BWpF6,33.77007,-72.90312
c9dyZ,36.1535,-72.90235
IJUfG,34.35411,-72.90228
O1lUx,34.24598,-72.89936
AjrYF,37.03429,-72.8979
nBtUu,35.02339,-72.89484
MNqYX,35.28576,-72.89181
e3DAX,35.92067,-72.891
wey7e,34.91575,-72.88899
b7kyJ,36.76504,-72.88773
TEsXm,36.94836,-72.88705
UHKNz,35.95829,-72.8869
y7z6A,35.68009,-72.8864
JBC5e,36.79166,-72.88572
MIntn,35.89641,-72.88548
sUtfl,37.44327,-72.88496
KNK8s,37.47958,-72.88373
WjrEY,37.41866,-72.8759
3tzk5,37.04225,-72.87568
YsXsh,36.30434,-72.87562
zCdEq,33.51428,-72.87519
8eXlM,35.21516,-72.87495
Fygeb,35.5882,-72.87486
wK89f,37.17401,-72.87236
lg2c9,34.34937,-72.87127
50fQx,35.33478,-72.87006
2dYVJ,36.5494,-72.86977
w72rB,34.43569,-72.86929
LrJ86,36.0368,-72.86736
mj6jt,34.59474,-72.86577
UysVg,36.33466,-72.86518
sgyUV,34.17339,-72.86511
wPXxZ,36.58435,-72.8647
chzEd,35.48533,-72.86315
Cljie,33.75148,-72.86303
iqBsx,37.33768,-72.86244
r2xYA,35.57686,-72.86094
v4Tth,34.4342,-72.8609
RGKNv,36.64356,-72.86081
flyzL,36.32208,-72.8597
G56jO,34.13293,-72.85929
lYvy8,34.27372,-72.85679
nLNyB,36.1139,-72.85596
wdBuB,33.9846,-72.85566
KwVfC,34.16958,-72.85549
ft6hl,33.91377,-72.85036
XffgN,33.99976,-72.84976
zT2hf,35.73472,-72.84887
wWjHj,36.58877,-72.84862
pNeqM,36.81508,-72.84857
Y4Glt,33.85461,-72.84856
9tgnY,37.29122,-72.84676
xm7dk,35.51085,-72.84642
fGFwy,36.06833,-72.84617
mWbeU,34.49907,-72.84533
xEVRj,35.48815,-72.84515
4vIWt,35.84976,-72.84262
ixTKu,37.27779,-72.84106
VgbOB,34.11536,-72.83649
s3Pb8,36.54995,-72.83643
2ZUzF,33.69882,-72.83625
TXZo9,35.63911,-72.83621
h7KjP,35.53142,-72.8348
GMvXb,36.3652,-72.83037
wkQ5t,35.71995,-72.82966
3iq9n,37.19794,-72.82729
xvc24,35.39025,-72.82717
Kog9w,37.12388,-72.82708
DPtL7,36.89903,-72.81978
SejdM,35.6435,-72.81847
8FRf9,35.26871,-72.81242
bUH3h,36.10336,-72.80939
grz7v,35.91992,-72.80871
vhNJf,33.57657,-72.80857
ZatoC,33.88059,-72.80853
BzywS,35.29564,-72.80747
lRk1J,36.78996,-72.80513
hNyOV,36.18841,-72.8035
jBWcD,35.40116,-72.79965
EyVcs,34.6038,-72.79946
gJHyh,34.39183,-72.79875
D9i6k,33.67425,-72.79666
r2kTK,33.87126,-72.7961
GMYee,35.27275,-72.79429
jkuk6,34.24751,-72.79289
PsZOo,37.45917,-72.79027
jbG1N,34.27376,-72.78801
wgJam,35.00327,-72.78651
XK00i,36.19193,-72.783
qJXaB,36.78313,-72.7823
B4JS8,37.21955,-72.78198
ADnpW,34.7011,-72.78115
8Gha9,33.90473,-72.77582
iRgM9,34.44456,-72.7714
Kzuc2,33.94018,-72.77112
bbB5M,36.08893,-72.76991
j4kC7,34.83274,-72.76873
9tafX,34.1639,-72.76431
5pIud,33.69544,-72.76333
yZWOM,34.64575,-72.76248
8Yq73,34.24797,-72.76073
qofXK,33.78214,-72.7602
UlGEK,36.56816,-72.76009
7VKzX,34.08064,-72.75992
weBgR,33.99288,-72.75764
qNurM,33.57507,-72.75617
R6m2d,34.04271,-72.75574
3RrGb,33.60614,-72.75566
sRGCe,34.48056,-72.75455
Nh7Rt,36.60164,-72.75397
He6dD,34.18668,-72.75006
DeQxo,34.4184,-72.74912
2Yrh7,36.90039,-72.74803
0aqA1,36.59358,-72.74464
DNshb,34.79141,-72.74363
0DLS0,37.1167,-72.7434
JvHWT,34.97879,-72.74175
1Ev7I,33.90096,-72.74102
SDS2T,33.57404,-72.74051
6L7ad,36.43576,-72.73954
ZJAHn,36.55727,-72.73723
529ys,34.05593,-72.73689
4x0Yx,37.03969,-72.73426
TqA3u,36.06978,-72.73297
7y7Yr,34.62057,-72.73153
nNXKj,34.0224,-72.73145
1wo0H,36.83815,-72.73132
IYX1B,35.91929,-72.72934
UNHWc,34.88495,-72.72813
XVmxb,36.53519,-72.72651
GAFAt,36.76758,-72.72533
yoGFs,35.01151,-72.72439
vneQA,36.44469,-72.72411
AEdOX,34.16788,-72.71969
gYwGF,36.75857,-72.7159
gSMKS,34.17967,-72.71492
xMVNp,35.48971,-72.71478
3qHW4,37.11024,-72.70822
Rft1X,34.41612,-72.706
ixRkc,37.02573,-72.70597
MsP0j,37.32943,-72.70538
5ljIO,36.75759,-72.70365
NA5bc,35.87043,-72.69917
gatPy,35.05514,-72.69859
m9PJE,35.72888,-72.69634
ow9tK,36.3088,-72.69579
dFxUA,36.19885,-72.6942
L51jq,35.67304,-72.69221
dXOPi,36.98566,-72.69217
JLZ1h,36.1142,-72.69207
pWaGu,37.42388,-72.69055
o6OJq,33.831,-72.68907
H1kBO,35.22605,-72.68813
lqjHJ,35.19019,-72.68784
I2KIb,35.59384,-72.68771
2fp0g,37.14231,-72.68759
ZpMks,33.94831,-72.68697
pYmBL,36.85538,-72.6836
8hF61,36.8819,-72.68282
HsYsG,33.67886,-72.68245
4N7rz,36.44026,-72.6814
mdB0y,34.07243,-72.67974
GuwcL,35.56022,-72.67698
TL0E3,36.99796,-72.67099
tuyI5,36.98304,-72.66931
3fjVY,35.2057,-72.66921
pNIYF,34.44661,-72.6684
XhSQM,35.24434,-72.66787
zh3qi,34.55019,-72.66751
BJPGN,37.31761,-72.66728
cCMXq,36.23086,-72.66684
qrGHt,37.00916,-72.66399
mzXT0,36.75051,-72.66281
ngkbo,36.15748,-72.66066
O05T7,33.62199,-72.65871
0IU3G,37.07516,-72.65677
aD91l,34.74898,-72.65656
I0fgB,35.35926,-72.65617
haUJC,36.31915,-72.64927
G5Gic,35.96627,-72.64802
Ul2Hd,34.41165,-72.64711
v8b4G,33.85967,-72.64674
z5hb5,36.35215,-72.64297
Dxuoi,36.60468,-72.64199
CzHHR,36.82457,-72.64191
AGicM,34.25784,-72.63871
Yk2YQ,35.80055,-72.63839
uZ1DM,34.35384,-72.6377
uRBQz,36.70551,-72.63597
yWyPM,35.87032,-72.63123
hI9r6,37.05145,-72.63115
d8z9n,34.33176,-72.62862
GYlrh,35.1671,-72.62815
qZDhg,37.14381,-72.62606
pAYde,33.78111,-72.62381
6RpIh,34.75867,-72.62348
omuNI,35.36865,-72.62059
tNHOH,34.73655,-72.619
Fmkg3,35.23101,-72.6183
Kujsn,35.83568,-72.61279
uJofy,33.86769,-72.61124
8LZr4,35.92409,-72.61076
b9wVJ,35.30262,-72.60977
ww3mF,34.4346,-72.60928
xFNzL,34.61891,-72.60673
Ygyii,33.85279,-72.60552
pfGfI,34.01888,-72.59779
ipcoo,34.35858,-72.59768
pwSTS,34.12674,-72.59762
vv1Hz,35.89951,-72.59587
3Wyur,35.15306,-72.5955
5Sogg,33.88661,-72.59454
fIs6F,34.64664,-72.59389
Sip1K,37.2099,-72.59267
ZgwGt,37.38203,-72.59217
XA0Ii,34.63268,-72.58907
rdO1s,37.34,-72.58829
BSZqc,35.61354,-72.58803
y0COY,35.52887,-72.58752
qxGPC,37.08198,-72.58749
u1JA2,35.2447,-72.58418
o4Fh0,35.56095,-72.58127
EvJvH,36.79758,-72.58088
p1dga,37.11001,-72.57546
wIblU,34.94361,-72.574
NgrxO,35.60642,-72.57166
Vm8e2,36.62811,-72.57147
Vreus,35.12176,-72.57144
CKP92,37.02449,-72.5714
22uew,34.68174,-72.56997
wVBOU,34.95107,-72.56704
TxMF1,34.22489,-72.56698
2EpPV,35.49055,-72.56641
86Bjb,36.39879,-72.56487
K0ye3,36.54811,-72.56401
gNQMB,34.54135,-72.56303
Azcxm,36.43698,-72.56219
0hY5J,36.07214,-72.56131
AV30l,34.94211,-72.55822
Gwigc,35.84784,-72.55708
wvjYp,35.92459,-72.55689
LWPKV,37.09883,-72.55664
CB3Rv,37.04033,-72.55264
BMO05,33.78863,-72.55237
8XdqK,33.94019,-72.54864
0D5Uq,36.73463,-72.54713
jNN62,37.04065,-72.54646
Z3ljU,35.7779,-72.54577
HzGqh,33.96814,-72.54547
HJKtT,36.61051,-72.54355
uJmcD,36.68143,-72.53911
Dvpbv,36.36956,-72.53888
VUEeM,36.0488,-72.53756
bxlgc,34.05062,-72.53712
7hIqo,34.0271,-72.53562
VTwJg,35.63839,-72.53367
YAlf8,36.43899,-72.5318
M40LQ,33.9653,-72.52841
DvVsO,36.01234,-72.52784
FEyLr,35.73722,-72.52496
vt6T4,36.41321,-72.52492
V4tay,34.00253,-72.52407
lNF01,37.03736,-72.52288
vp3S5,37.17398,-72.52253
fDOms,35.89224,-72.52252
eq6c4,36.66418,-72.52181
ViRbI,35.51128,-72.52133
34Gnp,35.49694,-72.5206
7BkWz,37.08173,-72.52043
7XAK0,35.26479,-72.51952
JGA0h,36.29133,-72.51893
2MlAI,34.81736,-72.51572
7.80E+54,33.55005,-72.51304
oRkJ0,34.95024,-72.51245
IGo5h,36.04953,-72.51153
bjqGH,36.16403,-72.51144
4brfh,34.54654,-72.51084
K56Oq,37.04257,-72.50718
hol4z,34.52311,-72.50632
SLpNI,36.86671,-72.50557
TyBOS,36.76896,-72.50475
SR6Ii,36.94717,-72.50451
GWOwN,34.29488,-72.5014
HNFre,34.88362,-72.49801
z2UaG,34.84892,-72.49747
X3Yag,37.20647,-72.49611
ACn5v,33.75606,-72.4953
EICdB,36.06939,-72.49528
Tdlt9,34.88529,-72.49478
IBmlX,34.54216,-72.49467
VI2ui,36.31567,-72.49293
zrE8V,34.1746,-72.49273
eiq5m,35.99187,-72.49273
MuIPG,36.40923,-72.4925
NtV0D,37.09843,-72.49092
CDCpE,35.58975,-72.49083
f8ZW5,37.33377,-72.48935
NikIf,33.88595,-72.48733
kiIwv,34.72144,-72.4847
IgfzS,35.66877,-72.48383
zrrz6,34.73334,-72.47929
ZDl1x,37.04419,-72.47884
dNJK0,35.32849,-72.47877
H2aA6,35.99394,-72.47386
YWZXI,34.96664,-72.47202
tOYIU,34.76329,-72.47086
QcX90,33.83302,-72.46568
fdpVY,36.88335,-72.46487
z8N09,37.22424,-72.46428
AHI94,36.77802,-72.46395
ZlOJ4,36.83399,-72.46376
UinBD,36.56152,-72.4626
Vt1qd,36.05607,-72.46229
kIaXU,36.57626,-72.46049
aIcTG,33.7446,-72.46024
NtbFR,35.29342,-72.46012
SIFiv,33.82442,-72.45988
ulkj0,33.75302,-72.45978
wRdu4,33.79088,-72.45947
nPMkA,33.90307,-72.45888
Ieb6g,33.96248,-72.45882
3KcOm,36.97119,-72.45801
iIVe7,37.49739,-72.45644
JP0da,35.29421,-72.45562
cCuJ1,34.94097,-72.45536
Lhrbg,35.2985,-72.45456
v7bon,34.53848,-72.45154
aSbQO,35.10276,-72.45151
VDsFG,36.80865,-72.45058
TIAvv,36.87519,-72.44794
b2oNH,35.79749,-72.44663
ajlQg,34.72621,-72.44512
025DX,35.7598,-72.44489
KXIMe,34.70826,-72.44331
t65Mp,35.68083,-72.44171
Lykmn,35.44466,-72.44104
x6iim,34.45035,-72.43986
pXv2Z,35.95422,-72.43707
RlNyJ,35.72984,-72.4368
iqSMb,33.79491,-72.43287
w5nsh,36.15375,-72.42848
dWAG0,34.30215,-72.42473
KQzVe,34.89725,-72.42367
EBBO9,34.32537,-72.42332
dOHFi,36.38541,-72.42004
Z2ZIh,35.50261,-72.41984
VeUWF,35.07886,-72.41852
5gdmC,36.45465,-72.41768
SnNyj,36.00132,-72.41348
bMrP3,34.5608,-72.4101
MwYub,35.34055,-72.40987
vHAgM,36.96288,-72.4095
Iq5BV,37.44581,-72.40946
8DhFT,33.52408,-72.4075
Kb3nq,33.99184,-72.40665
K1Zwt,33.58119,-72.40478
ff6y1,34.51305,-72.40396
n96oT,35.97429,-72.40192
CyTMp,34.47324,-72.40159
bvJTf,35.24279,-72.40076
aWd1L,35.01918,-72.39964
hqIsd,35.43223,-72.39766
jLTIs,36.06658,-72.39743
pGByt,36.43009,-72.3959
TsOYr,33.72091,-72.39542
ULPxq,34.01583,-72.39381
pM3Rq,33.52509,-72.39324
s3MuF,35.69891,-72.39146
EOikj,36.53695,-72.39018
9IPPD,34.74983,-72.38955
TgbBJ,34.84212,-72.38869
IJOOz,35.15488,-72.38783
7vJkV,36.08033,-72.38741
Cwg3S,35.86797,-72.38263
rRwP2,37.34352,-72.38222
lJaiC,36.12461,-72.38135
CI4h8,35.09867,-72.38128
bhor2,33.90973,-72.38125
515Cc,34.26455,-72.38102
Hlm0H,33.81109,-72.38036
bHCvn,37.30372,-72.37892
3QYmm,37.49453,-72.37851
BDcuj,34.1565,-72.37849
aMFg4,34.63313,-72.37833
KqKSX,36.04636,-72.37729
XasxY,37.08407,-72.37721
DrQNJ,35.9682,-72.37703
YBjbE,35.50335,-72.37589
gMrKg,35.88365,-72.37568
FqQaP,37.34135,-72.37462
j8qoF,36.50823,-72.37462
Mj931,36.6728,-72.37191
FoZkE,34.16414,-72.37019
sKVZi,35.12826,-72.36968
XZSXA,35.98176,-72.36867
eAHuS,35.68468,-72.36609
VqLyS,34.32725,-72.36579
9wf35,37.02284,-72.36451
7L3lU,34.23804,-72.36257
4Ln51,33.51906,-72.36115
WUYCd,36.19684,-72.36092
S0Dhl,36.59067,-72.36016
drGxg,36.53568,-72.36014
qjzT2,36.47349,-72.35856
Gewka,36.78318,-72.35708
qFknk,37.44027,-72.35659
Oy4uv,35.48788,-72.35621
H1F6m,35.29104,-72.35308
Ei8be,34.92236,-72.35163
QRiCb,37.17596,-72.35132
Lzr0g,36.30251,-72.34924
RT56P,35.35095,-72.34903
cZOwm,34.34321,-72.34785
4vUNc,33.82323,-72.34777
AsEQD,35.34945,-72.3473
yMeWA,35.04787,-72.34607
PUwIT,35.22093,-72.3416
w9utB,35.14503,-72.34062
7K7lF,35.18147,-72.33836
7HaLe,33.64015,-72.33729
WpRgC,34.40989,-72.33645
T9vzp,34.57536,-72.33539
W2wMr,36.27982,-72.33429
xIhbK,35.22577,-72.33416
FpIIz,34.96598,-72.3302
UxkzM,35.72904,-72.32934
5QPmF,36.59155,-72.3288
D36Mn,35.9672,-72.32779
Myg7D,36.79611,-72.32705
mbsx4,35.10989,-72.32293
xSRxf,36.60675,-72.32135
rG1lj,34.98116,-72.31918
dPvyO,33.85563,-72.31916
HD1Gg,33.91329,-72.31882
Rg3mx,34.41299,-72.31616
OG1Oe,35.3795,-72.31216
QcQxc,33.72255,-72.31174
duBbJ,36.15224,-72.31087
Aj5a5,36.53789,-72.30804
J39El,36.36801,-72.30489
CUqf1,33.997,-72.30483
a0s3L,35.73384,-72.30171
XwOMf,33.64144,-72.30162
UkJDM,37.28168,-72.30064
WNBDM,35.5132,-72.30007
nSL31,34.55455,-72.2997
nycC8,35.45539,-72.29894
hA3EX,36.6022,-72.29891
kZb0Z,35.8309,-72.29887
Y8ojs,35.97681,-72.29094
gvTp6,36.60727,-72.28984
Zm3Ur,35.4632,-72.28945
NP73q,35.07626,-72.28839
rD8dF,34.17842,-72.28722
Z3ZwJ,34.77399,-72.28559
ZbWyF,35.56004,-72.28506
1K0R2,34.47442,-72.28461
sOC43,36.89877,-72.28415
47oDi,36.29192,-72.28277
gt9aN,35.58049,-72.27795
uc9a6,36.2372,-72.27737
AAl7v,34.4131,-72.27437
iefFe,35.85417,-72.27407
a3aUg,35.93811,-72.27404
x3Rvv,33.62711,-72.27124
XRNrA,33.70607,-72.26817
1RkZZ,35.85581,-72.26787
pRG3o,34.25922,-72.26647
R2CKA,36.86845,-72.26646
FqX9f,34.07058,-72.26555
gdNsB,36.84496,-72.26035
whkZ0,35.7551,-72.2591
ymO9p,34.38344,-72.2568
QD0rj,36.81773,-72.25581
BpNHQ,33.71501,-72.25198
fLpsM,37.25738,-72.25149
IFAaw,36.30883,-72.25148
9JsXH,34.84536,-72.25003
xQPom,37.48114,-72.24635
l4rnN,35.98219,-72.2458
eb0A2,35.38424,-72.24047
eJKGW,34.61845,-72.23692
iKMBv,36.89058,-72.23614
ZVbAp,33.82591,-72.23573
BKZPk,34.33949,-72.23541
e300g,35.93534,-72.23298
DkOle,35.24596,-72.23266
AEkOF,37.07179,-72.23253
J6mIC,36.04898,-72.2294
E7CSn,33.82973,-72.22809
uinQy,36.92303,-72.22115
8WbDH,36.94124,-72.22058
MphiD,37.47086,-72.21981
s4Cy5,36.17961,-72.21962
rPUZ6,35.36279,-72.21931
A4Wes,34.81118,-72.2175
ycuTP,35.34294,-72.2148
d6IyB,34.28254,-72.21179
XRcLz,35.39824,-72.21161
VsS0E,35.40697,-72.21072
TTVuO,36.18196,-72.20983
Ph8Ss,37.32779,-72.20962
uHWRI,34.98905,-72.20918
Dn7aB,34.80137,-72.20819
MpSFD,36.47946,-72.20786
l7zAG,36.36007,-72.20489
4wfND,34.7865,-72.20482
GSPcD,34.02814,-72.20432
BnUuB,33.77386,-72.20338
gTva9,35.58272,-72.20319
7wMno,36.2942,-72.1992
S3DRw,34.39299,-72.19889
w6mU9,36.74811,-72.19865
tq2xa,34.23525,-72.19803
pMXip,35.41598,-72.19561
lCDpm,34.42649,-72.19555
deyr2,34.72366,-72.19433
nGFuU,33.59634,-72.19312
ZerRj,34.81362,-72.1876
l1szc,33.94303,-72.18743
qyLxn,34.76406,-72.18518
tsN5i,36.59694,-72.18387
9C9d0,35.60382,-72.18242
ztTji,35.611,-72.18239
df1uk,33.78345,-72.18062
BsgMP,36.56001,-72.17944
aYgwh,34.30329,-72.17895
sTfOH,33.68464,-72.17813
F8rAw,36.29995,-72.17467
asjg5,34.39642,-72.17328
ONu0Y,34.63409,-72.17103
LxjGk,36.94977,-72.17026
xmiuD,34.36747,-72.16659
QXiZk,35.78694,-72.16371
tdled,36.49486,-72.16237
Cm3kJ,33.92604,-72.16223
HuqqI,33.94475,-72.15952
cwYSJ,36.70122,-72.15829
EfIWD,34.19526,-72.1558
f3PNV,35.48379,-72.15511
iidCb,34.37914,-72.15178
RlYUY,36.33978,-72.14851
